NCM;DESCRICAO
03044;- Fil s (filetes) de outros peixes, frescos ou refrigerados:
03044100;-- Salm es-do-pac fico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salm o-do-atl ntico (Salmo salar) e salm o-do-dan bio (Hucho hucho)
03044200;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)
03044300;-- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae)
03044400;-- Peixes das fam lias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae
03044500;-- Espadarte (Xiphias gladius)
03044600;-- Merluza negra e merluza ant rtica (Marlongas*) (Dissostichus spp.)
03044700;-- Ca  o e outros tubar es
03044800;-- Raias (Rajidae)
030449;-- Outros
03044910;Cherne-poveiro (Polyprion americanus)
03044920;Garoupas (Acanthistius spp.)
03044990;Outros
03045;- Outros, frescos ou refrigerados:
03045100;-- Til pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabe a-de-serpente (Channa spp.)
03045200;-- Salmon deos
03045300;-- Peixes das fam lias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae
